yh [-],xl [-],z[-],c_m [user_defined],c_s [user_defined],vfrac_liqwater [-],vfrac_swe [-],v_liqwater [mm*mm*m],v_swe [mm*mm*m],v_air [mm*mm*m]
28,2,0,0,0.100783465395752,0,1,0,32.0384461353624,5
28,3,0,0,0.100783465395752,0,1,0,32.0384461353624,5
28,4,0,0,0.100783465395752,0,1,0,32.0384461353624,5
28,5,0,0,0.100783465395752,0,1,0,32.0384461353624,5
28,6,0,0,0.100783465395752,0,1,0,32.0384461353624,5
28,7,0,0,0.100783465395752,0,1,0,32.0384461353624,5
28,8,0,0,0.100783465395752,0,1,0,32.0384461353624,5
28,9,0,0,0.100783465395752,0,1,0,32.0384461353624,5
29,0,0,0,0.100783465395752,0,1,0,32.0384461353624,5
29,1,0,0,0.100783465395752,0,1,0,32.0384461353624,5
29,2,0,0,0.100783465395752,0,1,0,32.0384461353624,5
29,3,0,0,0.100783465395752,0,1,0,32.0384461353624,5
29,4,0,0,0.100783465395752,0,1,0,32.0384461353624,5
29,5,0,0,0.100783465395752,0,1,0,32.0384461353624,5
29,6,0,0,0.100783465395752,0,1,0,32.0384461353624,5
29,7,0,0,0.100783465395752,0,1,0,32.0384461353624,5
29,8,0,0,0.100783465395752,0,1,0,32.0384461353624,5
29,9,0,0,0.100783465395752,0,1,0,32.0384461353624,5
30,0,0,0,0.100783465395752,0,1,0,32.0384461353624,5
30,1,0,0,0.100783465395752,0,1,0,32.0384461353624,5
30,2,0,0,0.100783465395752,0,1,0,32.0384461353624,5
30,3,0,0,0.100783465395752,0,1,0,32.0384461353624,5
30,4,0,0,0.100783465395752,0,1,0,32.0384461353624,5
30,5,0,0,0.100783465395752,0,1,0,32.0384461353624,5
30,6,0,0,0.100783465395752,0,1,0,32.0384461353624,5
30,7,0,0,0.100783465395752,0,1,0,32.0384461353624,5
30,8,0,0,0.100783465395752,0,1,0,32.0384461353624,5
30,9,0,0,0.100783465395752,0,1,0,32.0384461353624,5
31,0,0,0,0.141758823073791,0,1,0,32.0384461353624,5
31,1,0,0,0.141758823073791,0,1,0,32.0384461353624,5
31,2,0,0,0.141758823073791,0,1,0,32.0384461353624,5
31,3,0,0,0.141758823073791,0,1,0,32.0384461353624,5
31,4,0,0,0.141758823073791,0,1,0,32.0384461353624,5
31,5,0,0,0.141758823073791,0,1,0,32.0384461353624,5
31,6,0,0,0.141758823073791,0,1,0,32.0384461353624,5
31,7,0,0,0.141758823073791,0,1,0,32.0384461353624,5
31,8,0,0,0.141758823073791,0,1,0,32.0384461353624,5
31,9,0,0,0.141758823073791,0,1,0,32.0384461353624,5
32,0,0,0,0.141758823073791,0,1,0,32.0384461353624,5
32,1,0,0,0.141758823073791,0,1,0,32.0384461353624,5
32,2,0,0,0.141758823073791,0,1,0,32.0384461353624,5
32,3,0,0,0.141758823073791,0,1,0,32.0384461353624,5
32,4,0,0,0.141758823073791,0,1,0,32.0384461353624,5
32,5,0,0,0.141758823073791,0,1,0,32.0384461353624,5
32,6,0,0,0.141758823073791,0,1,0,32.0384461353624,5
32,7,0,0,0.141758823073791,0,1,0,32.0384461353624,5
32,8,0,0,0.141758823073791,0,1,0,32.0384461353624,5
32,9,0,0,0.141758823073791,0,1,0,32.0384461353624,5
33,0,0,0,0.141758823073791,0,1,0,32.0384461353624,5
33,1,0,0,0.141758823073791,0,1,0,32.0384461353624,5
33,2,0,0,0.141758823073791,0,1,0,32.0384461353624,5
33,3,0,0,0.141758823073791,0,1,0,32.0384461353624,5
33,4,0,0,0.141758823073791,0,1,0,32.0384461353624,5
33,5,0,0,0.141758823073791,0,1,0,32.0384461353624,5
33,6,0,0,0.141758823073791,0,1,0,32.0384461353624,5
33,7,0,0,0.141758823073791,0,1,0,32.0384461353624,5
33,8,0,0,0.141758823073791,0,1,0,32.0384461353624,5
33,9,0,0,0.141758823073791,0,1,0,32.0384461353624,5
34,0,0,0,0.141758823073791,0,1,0,32.0384461353624,5
34,1,0,0,0.141758823073791,0,1,0,32.0384461353624,5
34,2,0,0,0.141758823073791,0,1,0,32.0384461353624,5
34,3,0,0,0.141758823073791,0,1,0,32.0384461353624,5
34,4,0,0,0.141758823073791,0,1,0,32.0384461353624,5
34,5,0,0,0.141758823073791,0,1,0,32.0384461353624,5
34,6,0,0,0.141758823073791,0,1,0,32.0384461353624,5
34,7,0,0,0.141758823073791,0,1,0,32.0384461353624,5
34,8,0,0,0.141758823073791,0,1,0,32.0384461353624,5
34,9,0,0,0.141758823073791,0,1,0,32.0384461353624,5
35,0,0,0,0.141758823073791,0,1,0,32.0384461353624,5
35,1,0,0,0.141758823073791,0,1,0,32.0384461353624,5
35,2,0,0,0.141758823073791,0,1,0,32.0384461353624,5
35,3,0,0,0.141758823073791,0,1,0,32.0384461353624,5
35,4,0,0,0.141758823073791,0,1,0,32.0384461353624,5
35,5,0,0,0.141758823073791,0,1,0,32.0384461353624,5
35,6,0,0,0.141758823073791,0,1,0,32.0384461353624,5
35,7,0,0,0.141758823073791,0,1,0,32.0384461353624,5
35,8,0,0,0.141758823073791,0,1,0,32.0384461353624,5
35,9,0,0,0.141758823073791,0,1,0,32.0384461353624,5
36,0,0,0,0.141758823073791,0,1,0,32.0384461353624,5
36,1,0,0,0.141758823073791,0,1,0,32.0384461353624,5
36,2,0,0,0.141758823073791,0,1,0,32.0384461353624,5
36,3,0,0,0.141758823073791,0,1,0,32.0384461353624,5
36,4,0,0,0.141758823073791,0,1,0,32.0384461353624,5
36,5,0,0,0.141758823073791,0,1,0,32.0384461353624,5
36,6,0,0,0.141758823073791,0,1,0,32.0384461353624,5
36,7,0,0,0.141758823073791,0,1,0,32.0384461353624,5
36,8,0,0,0.141758823073791,0,1,0,32.0384461353624,5
36,9,0,0,0.141758823073791,0,1,0,32.0384461353624,5
37,0,0,0,0.141758823073791,0,1,0,32.0384461353624,5
